,DATE,TIME,OPEN,HIGH,LOW,CLOSE,QUANTITY,AVERAGE
0,20-12-2019,15:52:07,1799.25,1799.25,1799.25,1799.25,10,1800.23
1,20-12-2019,09:21:59,1805.4,1809.0,1805.1,1808.9,16591,1803.39
2,20-12-2019,09:16:59,1801.25,1803.0,1799.85,1800.0,14632,1802.74
3,20-12-2019,09:15:58,1804.5,1804.75,1800.9,1802.45,22403,1803.45
4,19-12-2019,15:14:00,1806.0,1807.0,1805.95,1807.0,37237,0.0
5,19-12-2019,09:17:00,1788.0,1788.1,1785.6,1787.5,13823,0.0
6,19-12-2019,09:16:00,1785.75,1788.7,1785.0,1787.3,18366,0.0
7,18-12-2019,15:00:00,1779.5,1782.0,1779.5,1781.1,19020,0.0
8,18-12-2019,09:18:00,1735.0,1735.2,1733.7,1734.15,5797,0.0
9,18-12-2019,09:17:00,1736.75,1736.75,1734.25,1735.25,5835,0.0
10,17-12-2019,15:27:00,1747.5,1748.5,1747.35,1748.3,9456,0.0
11,17-12-2019,09:19:00,1733.55,1734.4,1733.0,1734.15,5979,0.0
12,17-12-2019,09:18:00,1733.25,1734.5,1733.25,1733.45,2465,0.0
13,16-12-2019,13:46:00,1750.75,1750.75,1750.0,1750.1,1835,0.0
14,16-12-2019,09:20:00,1741.0,1744.85,1741.0,1744.5,3075,0.0
15,16-12-2019,09:19:00,1742.35,1742.35,1740.0,1741.25,2677,0.0
16,13-12-2019,09:16:00,1757.0,1757.7,1754.05,1754.4,8126,0.0
17,13-12-2019,09:21:00,1746.8,1748.15,1746.0,1748.0,6181,0.0
18,13-12-2019,09:20:00,1748.9,1749.0,1746.0,1747.3,9764,0.0
19,12-12-2019,15:01:00,1751.35,1754.0,1750.0,1753.8,6703,0.0
20,12-12-2019,09:22:00,1746.35,1746.7,1745.35,1746.7,7292,0.0
21,12-12-2019,09:21:00,1745.85,1747.0,1745.6,1746.4,10317,0.0
22,11-12-2019,15:25:00,1740.4,1741.2,1740.0,1741.2,4288,0.0
23,11-12-2019,09:23:00,1716.0,1718.9,1716.0,1718.0,2742,0.0
24,11-12-2019,09:22:00,1716.1,1716.65,1715.05,1716.0,3374,0.0
25,10-12-2019,10:07:00,1729.95,1732.0,1729.8,1731.55,6777,0.0
26,10-12-2019,09:24:00,1720.45,1722.35,1718.75,1720.6,4208,0.0
27,10-12-2019,09:23:00,1722.45,1722.6,1719.1,1720.3,1565,0.0
28,09-12-2019,15:08:00,1728.95,1730.0,1728.45,1729.95,7609,0.0
29,09-12-2019,09:25:00,1723.3,1723.45,1720.0,1721.6,10432,0.0
30,09-12-2019,09:24:00,1726.25,1726.55,1723.0,1723.75,7336,0.0
31,06-12-2019,10:44:00,1746.0,1746.9,1745.5,1746.85,2747,0.0
32,06-12-2019,09:26:00,1727.05,1729.9,1727.05,1729.9,978,0.0
33,06-12-2019,09:25:00,1730.0,1730.0,1727.05,1727.05,2738,0.0
34,05-12-2019,13:27:00,1736.0,1738.15,1735.9,1737.0,11571,0.0
35,05-12-2019,09:27:00,1716.45,1717.1,1715.5,1716.85,9267,0.0
36,05-12-2019,09:26:00,1716.1,1717.2,1716.1,1716.45,2006,0.0
37,04-12-2019,09:48:00,1732.4,1734.4,1732.0,1732.9,3601,0.0
38,04-12-2019,09:28:00,1723.2,1723.7,1720.5,1720.7,2903,0.0
39,04-12-2019,09:27:00,1719.75,1724.3,1719.75,1723.0,3722,0.0
40,03-12-2019,13:33:00,1748.2,1749.55,1748.05,1749.55,5582,0.0
41,03-12-2019,09:29:00,1735.4,1736.0,1735.15,1736.0,4682,0.0
42,03-12-2019,09:28:00,1735.5,1735.55,1735.45,1735.45,3200,0.0
43,02-12-2019,15:24:00,1741.3,1742.0,1741.3,1742.0,6403,0.0
44,02-12-2019,09:30:00,1703.4,1705.0,1703.35,1705.0,3715,0.0
45,02-12-2019,09:29:00,1701.25,1704.3,1701.25,1703.4,4256,0.0
46,29-11-2019,15:26:00,1715.1,1720.4,1715.1,1717.65,59193,0.0
47,29-11-2019,09:31:00,1710.0,1711.0,1709.0,1710.6,1303,0.0
48,29-11-2019,09:30:00,1710.2,1710.35,1709.0,1710.05,2212,0.0
49,28-11-2019,10:06:00,1725.3,1726.05,1725.0,1725.8,5498,0.0
